memory_hash,memory_length,memory_record,measure,leaf_count
dc2281c7dc36ad2f,4,t1:q4:r1|t2:q2:r0|t3:q1:r0|t4:q4:r1,0.0007755905337660808,1
6952cdb57ab9c988,3,t1:q4:r1|t2:q4:r2|t4:q4:r0,0.0007278463785300227,2
201c5e0823920bc3,4,t1:q4:r1|t2:q4:r2|t3:q2:r1|t4:q2:r2,0.00072729096040965,1
2dcf486c9b1249b0,4,t1:q2:r2|t2:q4:r2|t3:q4:r0|t4:q2:r2,0.00072729096040965,1
92def26fbd6247ef,4,t1:q2:r2|t2:q2:r0|t3:q4:r0|t4:q4:r1,0.00072729096040965,1
d81b1554301fcda3,4,t1:q4:r1|t2:q2:r0|t3:q2:r1|t4:q4:r1,0.0007272909604096499,1
5ebea4b75b0e2c82,4,t1:q4:r1|t2:q4:r2|t3:q1:r0|t4:q3:r0,0.000681332910516238,1
72821c63c24b1eb7,4,t1:q2:r2|t2:q4:r2|t3:q4:r0|t4:q3:r0,0.0006389031908910696,1
a649e78cf308cfcb,4,t1:q4:r1|t2:q4:r2|t3:q2:r1|t4:q3:r0,0.0006389031908910696,1
7ee42a11a1588a01,4,t1:q2:r2|t2:q4:r2|t3:q1:r0|t4:q4:r1,0.0005465494116435368,1
5d2091966814b69c,4,t1:q4:r1|t2:q4:r2|t3:q4:r0|t4:q2:r2,0.0005258170448482779,1
194d4fadeca92732,4,t1:q4:r1|t2:q2:r0|t3:q4:r0|t4:q4:r1,0.0005258170448482778,1
45da366e5aa88f29,4,t1:q2:r2|t2:q4:r2|t3:q2:r1|t4:q4:r1,0.0005125132775607647,1
f0f15646643e0bc5,4,t1:q4:r1|t2:q4:r2|t3:q4:r0|t4:q3:r0,0.0004619144277405209,1
1ee4d946f6f9804f,4,t1:q4:r1|t2:q4:r2|t3:q1:r0|t4:q4:r1,0.0003951444636849309,1
4f5606a137860d8e,4,t1:q4:r1|t2:q4:r2|t3:q2:r1|t4:q4:r1,0.000370537008875672,1
a9c12656e538a9bf,4,t1:q2:r2|t2:q4:r2|t3:q4:r0|t4:q4:r1,0.000370537008875672,1
d6db3672e30a9cf2,4,t1:q4:r1|t2:q4:r2|t3:q4:r0|t4:q4:r1,0.00026789096196683704,1
