branch_i,branch_j,tree_distance,memory_divergence,observation_count_distance,magnitude,real,imag,phase,suppressed
b0.0.0.1.2,b0.3.3.1.0,8,1,1,2.0668080767717723e-06,1.947305182332378e-06,-6.92602449512342e-07,-0.34171909992870014,True
b0.0.0.1.2,b0.3.3.1.1,8,1,1,1.840179249295922e-06,1.6866347773712593e-06,-7.358823257159435e-07,-0.4114045641176046,True
b0.0.0.1.2,b0.3.3.1.2,8,0,0,1.0254472325935911e-05,9.317995201523278e-06,-4.281257771703853e-06,-0.43069399415813253,True
b0.0.0.1.2,b0.3.3.1.3,8,2,0,7.889337701414687e-07,7.035432970864483e-07,-3.569920486430492e-07,-0.46956609700776647,True
b0.0.0.1.2,b0.3.3.1.4,8,2,0,6.008122977541009e-07,4.844066588716735e-07,-3.5542313651947936e-07,-0.6330059809666964,True
b0.0.0.1.2,b0.3.3.2.0,8,3,1,1.6428646702800833e-07,1.536967369282682e-07,-5.802892646040929e-08,-0.36100852996922833,True
b0.0.0.1.2,b0.3.3.2.1,8,3,1,1.462721918705096e-07,1.3291406311746077e-07,-6.106886228030477e-08,-0.4306939941581327,True
b0.0.0.1.2,b0.3.3.2.2,8,4,0,6.69081085495499e-08,6.024769485998845e-08,-2.9101722521803982e-08,-0.4499834241986606,True
b0.0.0.1.2,b0.3.3.2.3,8,4,0,6.271077768288646e-08,5.53655206851873e-08,-2.944997040491735e-08,-0.48885552704829466,True
b0.0.0.1.2,b0.3.3.2.4,8,4,0,4.775737566265598e-08,3.795243069370964e-08,-2.898930724634882e-08,-0.6522954110072244,True
b0.0.0.1.2,b0.3.3.3.0,8,2,2,2.7364313106852114e-07,2.3950128479771683e-07,-1.3236199515429935e-07,-0.5048806328188621,True
b0.0.0.1.2,b0.3.3.3.1,8,2,2,2.4363772193651136e-07,2.0451637314886525e-07,-1.3240994171302596e-07,-0.5745660970077665,True
b0.0.0.1.2,b0.3.3.3.2,8,3,1,1.114452373867771e-07,9.236463626852597e-08,-6.236036323802161e-08,-0.5938555270482945,True
b0.0.0.1.2,b0.3.3.3.3,8,3,1,1.0445396913892734e-07,8.423351237691773e-08,-6.176849570390744e-08,-0.6327276298979284,True
b0.0.0.1.2,b0.3.3.3.4,8,3,1,7.95468917456043e-08,5.563914051372871e-08,-5.6850629101888066e-08,-0.7961675138568581,True
b0.0.0.1.2,b0.3.3.4.0,8,3,1,1.3968990609771783e-07,1.2527346592705282e-07,-6.180476195417925e-08,-0.458320516777792,True
b0.0.0.1.2,b0.3.3.4.1,8,3,1,1.2437268337881652e-07,1.0743479020342183e-07,-6.266043588097739e-08,-0.5280059809666965,True
b0.0.0.1.2,b0.3.3.4.2,8,4,0,5.689079307347404e-08,4.858104259412061e-08,-2.9604807666949644e-08,-0.5472954110072245,True
b0.0.0.1.2,b0.3.3.4.3,8,4,0,5.33218761369055e-08,4.442068565070094e-08,-2.949618892469167e-08,-0.5861675138568584,True
b0.0.0.1.2,b0.3.3.4.4,8,4,0,4.060726024775071e-08,2.9722745053916667e-08,-2.7667815441202208e-08,-0.7496073978157883,True
b0.0.0.1.2,b0.3.4.0.0,8,3,1,1.4511163430800546e-07,1.3156842272615925e-07,-6.121385915698312e-08,-0.4354735196987259,True
b0.0.0.1.2,b0.3.4.0.1,8,3,1,1.2919991037682445e-07,1.1306252448554796e-07,-6.252585383930664e-08,-0.5051589838876301,True
b0.0.0.1.2,b0.3.4.0.2,8,4,0,5.909887257133211e-08,5.1156000177670036e-08,-2.9592911060332913e-08,-0.5244484139281581,True
b0.0.0.1.2,b0.3.4.0.3,8,4,0,5.539143669538056e-08,4.683271918289964e-08,-2.9578838265118124e-08,-0.5633205167777922,True
b0.0.0.1.2,b0.3.4.0.4,8,4,0,4.218333352733119e-08,3.1524907709101956e-08,-2.8028803424525064e-08,-0.726760400736722,True
b0.0.0.1.2,b0.3.4.1.0,8,4,0,6.102971627914863e-08,5.3406954935434866e-08,-2.953512203526182e-08,-0.5051589838876301,True
b0.0.0.1.2,b0.3.4.1.1,8,4,0,5.4337709799703e-08,4.560438391736983e-08,-2.954364354296672e-08,-0.5748444480765346,True
b0.0.0.1.2,b0.3.4.1.2,8,5,1,9.14373922411295e-09,7.5768100724054e-09,-5.1185853636798695e-09,-0.5941338781170624,True
b0.0.0.1.2,b0.3.4.1.3,8,5,1,8.570127150567811e-09,6.909689889222367e-09,-5.0698387559840354e-09,-0.6330059809666965,True
b0.0.0.1.2,b0.3.4.1.4,8,5,1,6.526577997103796e-09,4.563721961012427e-09,-4.665689896987612e-09,-0.7964458649256263,True
b0.0.0.1.2,b0.3.4.2.0,8,4,0,5.909887257133211e-08,5.1156000177670036e-08,-2.9592911060332913e-08,-0.5244484139281581,True
b0.0.0.1.2,b0.3.4.2.1,8,4,0,5.261858620777894e-08,4.3601531518251274e-08,-2.9455425031195947e-08,-0.5941338781170625,True
b0.0.0.1.2,b0.3.4.2.2,8,5,1,8.854451768375167e-09,7.240126867616122e-09,-5.097242299450291e-09,-0.6134233081575905,True
b0.0.0.1.2,b0.3.4.2.3,8,5,1,8.298987497744045e-09,6.595143545175637e-09,-5.037586238094599e-09,-0.6522954110072244,True
b0.0.0.1.2,b0.3.4.2.4,8,5,1,6.320091668351401e-09,4.3313681109482035e-09,-4.602478569621568e-09,-0.8157352949661545,True
