branch_id,parent_id,shell_q,score,local_probability,measure,amplitude_real,amplitude_imag,amplitude_norm_squared
root.q3.q1.q2,root.q3.q1,2,1.0095815704905393,0.13595446342481105,0.005066817920973602,0.07082834753300384,0.007082591807921136,0.0050668179209736024
root.q3.q1.q3,root.q3.q1,3,0.3741166179844383,0.25666839358650123,0.009565644140038264,0.09719902549321216,0.010862485130399726,0.009565644140038264
root.q3.q1.q4,root.q3.q1,4,0.9814480172999359,0.13983365744799922,0.00521138963491732,0.07169507861746044,0.00843832548278906,0.00521138963491732
root.q3.q2.q0,root.q3.q2,0,0.71,0.20782894051865278,0.01773637878565989,0.132938348140855,0.00798588625267859,0.01773637878565989
root.q3.q2.q1,root.q3.q2,1,0.9380910698150733,0.1654425939302771,0.01411907555274358,0.11841983937978989,0.009788625746668408,0.014119075552743578
root.q3.q2.q2,root.q3.q2,2,0.3095815704905394,0.31017410519967176,0.026470641699829794,0.16189062338355156,0.016188507044037778,0.026470641699829794
root.q3.q2.q3,root.q3.q2,3,0.7241166179844383,0.20491570962170425,0.01748776005840554,0.13142315643273775,0.014687205713194164,0.017487760058405542
root.q3.q2.q4,root.q3.q2,4,1.3314480172999357,0.11163865072969413,0.009527380505912402,0.09693917695973138,0.011409490623261338,0.009527380505912404
root.q3.q3.q0,root.q3.q3,0,1.06,0.1372061513420035,0.0063334935694890045,0.07944004242320939,0.004772130476809695,0.006333493569489003
root.q3.q3.q1,root.q3.q3,1,0.2380910698150733,0.312121794719303,0.014407673128478024,0.119623983406792,0.009888160717220153,0.014407673128478024
root.q3.q3.q2,root.q3.q3,2,0.6595815704905393,0.2047731904622643,0.009452416471938918,0.0967410695962815,0.009673775132094959,0.009452416471938918
root.q3.q3.q3,root.q3.q3,3,1.0741166179844381,0.1352828715603552,0.006244714167033244,0.07853460847389783,0.008776641663234103,0.006244714167033242
root.q3.q3.q4,root.q3.q3,4,0.6314480172999358,0.210615991916074,0.009722122640893869,0.09792489634197267,0.011525507247309228,0.00972212264089387
root.q3.q4.q0,root.q3.q4,0,0.36,0.260317378312205,0.007995969598704432,0.08925927758032541,0.005361992590711894,0.007995969598704432
root.q3.q4.q1,root.q3.q4,1,0.5880910698150733,0.20722610722848347,0.006365205673935336,0.07951106254922535,0.006572412512046851,0.006365205673935336
root.q3.q4.q2,root.q3.q4,2,1.0095815704905393,0.13595446342481105,0.004176009160053817,0.06430136346146928,0.0064299157887052205,0.004176009160053818
root.q3.q4.q3,root.q3.q4,3,0.3741166179844383,0.25666839358650123,0.007883886528714879,0.08824192691248842,0.00986148383793892,0.007883886528714877
root.q3.q4.q4,root.q3.q4,4,0.9814480172999359,0.13983365744799922,0.004295163392775414,0.06508822341833935,0.007660715698924991,0.004295163392775414
root.q4.q0.q0,root.q4.q0,0,0.36,0.260317378312205,0.005435262755435804,0.0735915707033331,0.004420800476398881,0.005435262755435802
