z,a,E_ash,E_matched_LCDM,Delta_H_over_H_matched_LCDM,w_ash,rho_DE_factor_ash
0.29,0.7751937984496123,1.1946750311387786,1.1661273958121072,0.024480717483521947,-0.9454179448339328,1.0982180403448516
0.295,0.7722007722007722,1.1981580081623595,1.1694942942048567,0.024509494487949885,-0.9470425794985021,1.0989035471820738
0.3,0.7692307692307692,1.2016497674309785,1.1728775146982853,0.024531336283733517,-0.9486441007136068,1.0995663328235146
0.305,0.7662835249042146,1.2051504517104648,1.1762770165013465,0.024546458703237933,-0.950222894081957,1.10020682388717
0.31,0.7633587786259541,1.208660199722652,1.1796927586179444,0.024555072406008568,-0.9517793375134637,1.100825439260522
0.315,0.7604562737642586,1.212179146231261,1.1831246998555125,0.024557382987014584,-0.9533138014054131,1.1014225902340213
0.32,0.7575757575757576,1.215707422126095,1.1865727988334744,0.024553591082875834,-0.9548266488177872,1.1019986806328264
0.325,0.7547169811320755,1.2192451545055738,1.1900370139915777,0.02454389247610649,-0.9563182356438713,1.102554106946777
0.33,0.7518796992481203,1.2227924667576426,1.193517303598111,0.024528478197404776,-0.9577889107762964,1.1030892584585987
0.335,0.7490636704119851,1.226349478639086,1.197013625757995,0.024507534626027654,-0.9592390162686539,1.103604517370326
0.34,0.7462686567164178,1.229916306353277,1.2005259384207532,0.02448124358827743,-0.9606688874928156,1.1041002589279407
0.34500000000000003,0.7434944237918216,1.2334930626263902,1.204054199388359,0.02444978245413358,-0.9620788532920882,1.1045768515442227
0.35000000000000003,0.7407407407407407,1.2370798567821113,1.2075983663229628,0.024413324232060035,-0.9634692361303282,1.1050346569198095
0.355,0.7380073800738007,1.24067679481487,1.2111583967544963,0.024372037662021125,-0.9648403522371362,1.1054740301624693
0.36,0.7352941176470589,1.2442839794616254,1.2147342480881542,0.024326087306733052,-0.9661925117492491,1.1058953199045867
0.365,0.7326007326007326,1.2479015102722304,1.2183258776117556,0.024275633641182234,-0.9675260188482419,1.1062988684188673
0.37,0.7299270072992701,1.2515294836784068,1.221933242502984,0.024220833140440913,-0.968841171894647,1.106685011732268
0.375,0.7272727272727273,1.255167993061351,1.2255562998365068,0.024161838365805426,-0.9701382635585999,1.1070540797381578
0.38,0.7246376811594204,1.2588171288180057,1.2291950065909751,0.024098798049289133,-0.9714175809471086,1.107406396306721
0.385,0.7220216606498195,1.2624769784260128,1.232849319655902,0.02403185717649588,-0.9726794057280501,1.1077422793936105
0.39,0.7194244604316546,1.2661476265073843,1.236519195838423,0.023961157067902843,-0.973924014250985,1.1080620411468631
0.395,0.7168458781362007,1.2698291548909073,1.240204591869937,0.023886835458578257,-0.975151677664886,1.1083659880120897
0.4,0.7142857142857143,1.273521642673311,1.243905464412631,0.023809026576360078,-0.9763626620328676,1.108654420835954
0.405,0.7117437722419929,1.2772251662792213,1.2476217700658847,0.02372786121852725,-0.9775572284440044,1.1089276349679502
0.41000000000000003,0.7092198581560283,1.2809397995199232,1.2513534653725586,0.0236434668269816,-0.9787356331223205,1.1091859203605008
0.41500000000000004,0.7067137809187279,1.2846656136509556,1.2551005068251684,0.023555967561971113,-0.9798981275330321,1.1094295616673828
0.42,0.7042253521126761,1.288402677428562,1.258862850871942,0.02346548437437762,-0.9810449584861217,1.1096588383405062
0.425,0.7017543859649122,1.2921510571650185,1.262640453922762,0.023372135076595395,-0.9821763682373196,1.1098740247250551
0.43,0.6993006993006994,1.2959108167828592,1.2664332723549951,0.023276034412021685,-0.9832925945865633,1.1100753901530125
0.435,0.6968641114982578,1.2996820178680242,1.2702412625192092,0.0231772941231861,-0.9843938709740128,1.1102631990350857
0.44,0.6944444444444444,1.3034647197219462,1.2740643807447753,0.02307602301854198,-0.985480426573683,1.1104377109510506
0.445,0.6920415224913494,1.3072589794126015,1.2779025833453637,0.02297232703793981,-0.9865524863847647,1.1105991807385343
0.45,0.6896551724137931,1.31106485182454,1.2817558266243236,0.022866309316810867,-0.9876102713206978,1.110747858580253
0.455,0.6872852233676976,1.3148823897079194,1.2856240668799601,0.022758070249077826,-0.9886539982960589,1.1108839900897272
0.46,0.684931506849315,1.3187116437265571,1.2895072604106963,0.02264770754881947,-0.9896838803113233,1.111007816395491
0.465,0.68259385665529,1.322552662505026,1.2934053635201337,0.022535316310707793,-0.9907001265355617,1.1111195742238194
0.47000000000000003,0.6802721088435374,1.3264054926748017,1.297318332522002,0.022420989069239464,-0.9917029423871289,1.1112194959799864
0.47500000000000003,0.6779661016949152,1.3302701789194953,1.3012461237450077,0.02230481585678494,-0.9926925296123966,1.1113078098280835
0.48,0.6756756756756757,1.3341467640191704,1.305188693537574,0.022186884260473196,-0.993669086362588,1.1113847397694085
0.485,0.6734006734006734,1.3380352888937816,1.3091459982724827,0.02206727947793491,-0.9946328072687625,1.1114505057194555
0.49,0.6711409395973155,1.3419357926457334,1.3131179943514086,0.021946084371921793,-0.9955838835150035,1.1115053235835153
0.495,0.6688963210702341,1.345848312601589,1.317104638209358,0.021823379523823384,-0.9965225029098564,1.1115494053309156
0.5,0.6666666666666666,1.349772884352941,1.3211058863190035,0.02169924328610208,-0.997448849956065,1.1115829590679183
0.505,0.6644518272425249,1.3537095417964602,1.3251216951949223,0.021573751833662867,-0.9983631059186511,1.1116061891092897
0.51,0.6622516556291391,1.3576583171731365,1.329152021397737,0.021446979214177615,-0.9992654488913837,1.1116192960485731
0.515,0.6600660066006601,1.361619241106731,1.3331968215381589,0.02131899739738357,-1.0001560538616787,1.1116224768270748
0.52,0.6578947368421053,1.3655923426414531,1.3372560522809351,0.021189876323375212,-1.0010350927739728,1.1116159248015889
0.525,0.6557377049180328,1.3695776492788763,1.341329670348706,0.021059683949902135,-1.0019027345916112,1.111599829810881
0.53,0.6535947712418301,1.3735751870141082,1.3454176325257643,0.02092848629869929,-1.0027591453572882,1.1115743782409453
0.535,0.6514657980456026,1.37758498037123,1.3495198956617256,0.02079634750085906,-1.0036044882520814,1.1115397530890647
0.54,0.6493506493506493,1.3816070524380166,1.3536364166751078,0.02066332984126724,-1.0044389236531122,1.1114961340266833
0.545,0.6472491909385114,1.3856414248999562,1.3577671525568213,0.02052949380211816,-1.005262609189873,1.1114436974611148
0.55,0.6451612903225806,1.3896881180735778,1.3619120603735704,0.020394898105527116,-1.0060756997992548,1.1113826165961118
0.555,0.6430868167202571,1.3937471509391004,1.3660710972711678,0.020259599755252582,-1.0068783477793055,1.1113130614913034
0.56,0.641025641025641,1.3978185411724218,1.3702442204777643,0.020123654077550585,-1.0076707028417586,1.1112351991205325
0.5650000000000001,0.6389776357827476,1.4019023051764534,1.3744313873069933,0.019987114761170825,-1.0084529121633588,1.1111491934291
0.5700000000000001,0.6369426751592356,1.4059984581118188,1.3786325551610317,0.019850033896516125,-1.0092251204360176,1.1110552053899476
0.5750000000000001,0.6349206349206349,1.410107013926923,1.3828476815335786,0.01971246201397519,-1.009987469915829,1.1109533930587823
0.58,0.6329113924050632,1.4142279853874093,1.3870767240127535,0.019574448121448113,-1.0107401004709753,1.1108439116281748
0.585,0.6309148264984227,1.4183613841050147,1.3913196402839154,0.019436039741077084,-1.0114831496285481,1.1107269134806423
0.59,0.628930817610063,1.4225072205658302,1.3955763881324013,0.019297282945198405,-1.012216752620319,1.1106025482407342
0.595,0.6269592476489029,1.426665504157987,1.3998469254461894,0.019158222391529995,-1.0129410424274787,1.1104709628261396
0.6,0.625,1.430836243198768,1.4041312102184849,0.01901890135760732,-1.0136561498243766,1.110332301497834
0.605,0.6230529595015576,1.4350194449611662,1.4084292005502308,0.01887936177448421,-1.0143622034212827,1.110186705909282
0.61,0.6211180124223603,1.4392151156998962,1.4127408546525462,0.018739644259711898,-1.0150593297062,1.110034315154713
0.615,0.6191950464396285,1.4434232606768653,1.4170661308490908,0.01859978814960568,-1.0157476530857474,1.1098752658164848
0.62,0.6172839506172839,1.4476438841861217,1.4214049875783576,0.01845983153082017,-1.016427295925139,1.109709692011555
0.625,0.6153846153846154,1.4518769895782857,1.4257573833958963,0.018319811271239723,-1.0170983785872805,1.1095377254370749
0.63,0.6134969325153374,1.456122579284476,1.4301232769764676,0.018179763050200547,-1.0177610194710087,1.1093594954151196
0.635,0.6116207951070336,1.4603806548397378,1.4345026271161285,0.018039721388055936,-1.0184153350484892,1.1091751289365743
0.64,0.6097560975609756,1.4646512169059833,1.4388953927342518,0.01789971967509685,-1.0190614399017985,1.1089847507041883
0.645,0.60790273556231,1.468934265294458,1.4433015328754792,0.017759790199841863,-1.0196994467587084,1.1087884831748147
0.65,0.6060606060606061,1.4732297989877359,1.4477210067116113,0.017619964176706852,-1.020329466527692,1.108586446600851
0.655,0.6042296072507553,1.4775378161612565,1.452153773543431,0.0174802717730681,-1.0209516083321728,1.108378759070892
0.66,0.6024096385542168,1.4818583142044106,1.456599792802469,0.017340742135727436,-1.021565979544031,1.1081655365496141
0.665,0.6006006006006006,1.4861912897411849,1.461059024052704,0.017201403416796077,-1.0221726858163906,1.107946892916903
0.67,0.5988023952095809,1.4905367386503734,1.4655314269922055,0.01706228279900331,-1.0227718311157,1.1077229400062367
0.675,0.5970149253731343,1.494894656085364,1.4700169614547174,0.016923406520444377,-1.023363517753127,1.1074937876423452
0.68,0.5952380952380952,1.4992650364935063,1.4745155874111806,0.01678479989877794,-1.0239478464152825,1.1072595436781507
0.685,0.5934718100890207,1.5036478736350745,1.4790272649712035,0.01664648735488342,-1.0245249161942889,1.1070203140310095
0.6900000000000001,0.591715976331361,1.5080431606018259,1.4835519543844733,0.01650849243598886,-1.0250948246172118,1.106776202718265
0.6950000000000001,0.5899705014749262,1.5124508898351694,1.4880896160421142,0.016370837838280937,-1.025657667674866,1.1065273118921255
0.7000000000000001,0.588235294117647,1.516871053143945,1.4926402104779901,0.016233545429005635,-1.0262135398500158,1.106273741873881
0.705,0.5865102639296187,1.5213036417218293,1.4972036983699568,0.016096636268071406,-1.0267625341449789,1.1060155911874705
0.71,0.5847953216374269,1.5257486461643672,1.5017800405410615,0.015960130629163446,-1.0273047421086516,1.1057529565924091
0.715,0.5830903790087464,1.5302060564856421,1.506369197960692,0.01582404802037928,-1.027840253862969,1.105485933116095
0.72,0.5813953488372093,1.534675862134589,1.5109711317456749,0.015688407204396636,-1.0283691581288106,1.105214614085499
0.725,0.5797101449275363,1.539158052010957,1.5155858031613274,0.015553226218179568,-1.0288915422513685,1.1049390911582548
0.73,0.5780346820809249,1.5436526144809306,1.520213173622459,0.015418522392237104,-1.0294074922249865,1.1046594543531598
0.735,0.5763688760806917,1.5481595373924169,1.5248532046943295,0.015284312369438417,-1.0299170927174872,1.104375792080095
0.74,0.5747126436781609,1.5526788080899974,1.5295058580935585,0.015150612123396882,-1.0304204270939943,1.1040881911693796
0.745,0.5730659025787965,1.5572104134295623,1.5341710956889902,0.015017436976431393,-1.0309175774402657,1.1037967369005677
0.75,0.5714285714285714,1.5617543397926263,1.5388488795025161,0.014884801617112104,-1.0314086245855478,1.1035015130307007
0.755,0.5698005698005698,1.566310573100333,1.5435391717098543,0.014752720117399889,-1.0318936481249594,1.1032026018220211
0.76,0.5681818181818182,1.5708790988271562,1.5482419346412855,0.014621205949388998,-1.0323727264414206,1.1029000840691663
0.765,0.56657223796034,1.5754599020143003,1.5529571307823478,0.014490272001659256,-1.0328459367271339,1.1025940391258409
0.77,0.5649717514124294,1.5800529672828125,1.5576847227744925,0.014359930595248092,-1.0333133550046283,1.1022845449309904
0.775,0.5633802816901409,1.5846582788464028,1.562424673415701,0.01423019349924605,-1.0337750561473786,1.101971678034475
0.78,0.5617977528089888,1.589275820523987,1.567176945661061,0.014101071946029928,-1.0342311139000062,1.1016555136222612
0.785,0.5602240896358543,1.5939055757519502,1.5719415026233046,0.013972576646135593,-1.0346816008980744,1.1013361255411327
0.79,0.5586592178770949,1.598547527596144,1.5767183075733135,0.013844717802780692,-1.035126588687484,1.1010135863229396
0.795,0.5571030640668524,1.6032016587636153,1.5815073239405844,0.013717505126043915,-1.0355661477434819,1.1006879672083854
0.8,0.5555555555555556,1.6078679516140781,1.5863085153136596,0.013590947846709148,-1.0360003474892883,1.1003593381703662
0.805,0.5540166204986149,1.612546388171127,1.5911218454405247,0.013465054729778195,-1.0364292563143527,1.1000277679368706
0.81,0.5524861878453039,1.6172369501332051,1.5959472782289712,0.013339834087664319,-1.0368529415922474,1.0996933240134457
0.8150000000000001,0.5509641873278237,1.6219396188843254,1.6007847777469273,0.013215293793068853,-1.0372714696982057,1.09935607270524
0.8200000000000001,0.5494505494505494,1.6266543755045524,1.605634308222756,0.013091441291549806,-1.0376849060263127,1.0990160791386336
0.8250000000000001,0.547945205479452,1.6313812007802486,1.6104958340455209,0.012968283613788852,-1.038093315006358,1.098673407282457
0.8300000000000001,0.5464480874316939,1.63612007521409,1.615369319765223,0.01284582738756173,-1.0384967601203552,1.098328119968814
0.835,0.5449591280653951,1.6408709790348595,1.6202547300930077,0.012724078849421614,-1.0388953039187376,1.0979802789135098
0.84,0.5434782608695653,1.6456338922070124,1.62515202990134,0.012603043856097456,-1.039289008036239,1.0976299447360995
0.845,0.5420054200542006,1.6504087944400325,1.6300611842241552,0.012482727895616958,-1.03967793320746,1.0972771769795562
0.85,0.5405405405405405,1.6551956651975697,1.6349821582569766,0.012363136098159219,-1.0400621392821359,1.096922034129571
0.855,0.5390835579514824,1.6599944837063723,1.6399149173570127,0.012244273246639556,-1.040441685240104,1.0965645736334912
0.86,0.5376344086021506,1.664805228965016,1.6448594270432213,0.012126143787040179,-1.040816629205983,1.0962048519189058
0.865,0.5361930294906166,1.6696278797524295,1.6498156529963537,0.012008751838481706,-1.0411870284635694,1.0958429244118777
0.87,0.53475935828877,1.6744624146362286,1.654783561058968,0.011892101203052294,-1.0415529394699528,1.0954788455548385
0.875,0.5333333333333333,1.6793088119808528,1.6597631172354226,0.011776195375389726,-1.0419144178693647,1.0951126688241501
0.88,0.5319148936170213,1.6841670499555204,1.6647542876918453,0.011661037552028493,-1.042271518506757,1.0947444467473315
0.885,0.5305039787798409,1.6890371065419945,1.6697570387560754,0.01154663064051654,-1.0426242954411247,1.0943742309199713
0.89,0.5291005291005291,1.693918959542168,1.6747713369175872,0.011432977268300974,-1.0429728019585705,1.0940020720223205
0.895,0.5277044854881267,1.6988125865854757,1.6797971488273897,0.01132007979139627,-1.0433170905851243,1.0936280198355761
0.9,0.5263157894736842,1.70371796513613,1.6848344412979053,0.011207940302833515,-1.0436572130993171,1.0932521232578627
0.905,0.5249343832020997,1.7086350725001884,1.689883181302828,0.011096560640897913,-1.0439932205445166,1.0928744303199154
0.91,0.5235602094240838,1.7135638858324507,1.6949433359769595,0.0109859423971589,-1.044325163241031,1.0924949882004709
0.915,0.5221932114882506,1.7185043821431996,1.7000148726160276,0.0108760869242984,-1.0446530907979845,1.0921138432413742
0.92,0.5208333333333334,1.723456538304777,1.7050977586764842,0.010766995343740994,-1.0449770521249684,1.0917310409624021
0.925,0.5194805194805194,1.7284203310580064,1.7101919617752863,0.010658668553089154,-1.0452970954434746,1.091346626075814
0.93,0.5181347150259067,1.7333957370184587,1.7152974496896556,0.010551107233370877,-1.0456132682981154,1.0909606425006317
0.935,0.5167958656330749,1.738382732682572,1.7204141903568226,0.01044431185610172,-1.0459256175676328,1.090573133376654
0.9400000000000001,0.5154639175257733,1.7433812944336227,1.7255421518737557,0.010338282690165259,-1.0462341894757046,1.0901841410782134
0.9450000000000001,0.5141388174807198,1.7483913985475528,1.7306813024968686,0.010233019808519156,-1.0465390296015478,1.089793707227679
0.9500000000000001,0.5128205128205128,1.7534130211986547,1.7358316106417149,0.010128523094725889,-1.0468401828903278,1.0894018727087067
0.9550000000000001,0.5115089514066496,1.7584461384651213,1.740993044882667,0.010024792249316902,-1.0471376936633727,1.0890086776792467
0.96,0.5102040816326531,1.7634907263344586,1.7461655739525792,0.00992182679599081,-1.047431605628202,1.0886141615843132
0.965,0.5089058524173028,1.7685467607087657,1.751349166742435,0.009819626087651478,-1.0477219618883686,1.0882183631685145
0.97,0.5076142131979695,1.7736142174098866,1.7565437923009821,0.009718189312287547,-1.048008804953121,1.087821320488356
0.975,0.5063291139240506,1.7786930721844338,1.7617494198343515,0.00961751549869984,-1.0482921767468905,1.087423070924314
0.98,0.5050505050505051,1.7837833007086883,1.7669660187056648,0.009517603522077029,-1.0485721186186012,1.087023651192691
0.985,0.5037783375314862,1.7888848785933777,1.7721935584346276,0.009418452109426228,-1.048848671350814,1.0866230973572495
0.99,0.5025125628140703,1.793997781388337,1.7774320086971112,0.009320059844859459,-1.049121875168704,1.0862214448406358
0.995,0.5012531328320802,1.799121984587047,1.7826813393247196,0.009222425174739913,-1.0493917697488722,1.0858187284355916
1.0,0.5,1.8042574636310658,1.7879415203043487,0.009125546412692342,-1.049658394228002,1.085414982315962
1.0050000000000001,0.49875311720698257,1.8094041939143446,1.7932125217777304,0.00902942174448031,-1.0499217872113564,1.0850102400475032
1.01,0.49751243781094534,1.8145621507874337,1.7984943140409686,0.00893404923275117,-1.0501819867811244,1.0846045345984885
1.0150000000000001,0.4962779156327543,1.8197313095615837,1.8037868675440616,0.008839426821657254,-1.050439030504615,1.0841978983501255
1.02,0.49504950495049505,1.8249116455127368,1.8090901528904153,0.008745552341348597,-1.0506929554423072,1.08379036310678
1.025,0.4938271604938272,1.8301031338854241,1.81440414083635,0.008652423512348037,-1.0509437981557546,1.083381960106016
1.03,0.4926108374384236,1.8353057498965553,1.8197288022905918,0.008560037949806563,-1.051191594715349,1.08297272002845
1.035,0.49140049140049136,1.840519468739109,1.8250641083137573,0.008468393167641409,-1.0514363807079463,1.0825626730074287
1.04,0.49019607843137253,1.8457442655857352,1.8304100301178314,0.0083774865825646,-1.0516781912443571,1.08215184863853
1.045,0.48899755501222497,1.8509801155922543,1.8357665390656337,0.00828731551799826,-1.0519170609667048,1.0817402759888903
1.05,0.48780487804878053,1.8562269939010703,1.8411336066702777,0.00819787720788456,-1.0521530240556525,1.0813279836063652
1.055,0.4866180048661801,1.8614848756444893,1.8465112045946221,0.008109168800388844,-1.0523861142375042,1.0809149995285219
1.06,0.4854368932038835,1.866753735947954,1.8518993046507144,0.008021187361502525,-1.0526163647911808,1.0805013512914692
1.065,0.48426150121065376,1.872033549933187,1.8572978787992263,0.00793392987854358,-1.0528438085550724,1.0800870659385289
1.07,0.48309178743961345,1.8773242927212557,1.8627068991488849,0.007847393263561665,-1.0530684779337718,1.079672170028751
1.075,0.48192771084337344,1.8826259394355465,1.8681263379558926,0.007761574356646239,-1.0532904049046907,1.0792566896452722
1.08,0.4807692307692307,1.8879384652046673,1.8735561676233452,0.007676469929143605,-1.0535096210245594,1.0788406504035266
1.085,0.47961630695443647,1.8932618451652639,1.878996360700642,0.007592076686781139,-1.0537261574358145,1.0784240774593084
