omega_ash,alpha_mu,loglike,chi2,aic,bic
0.032,0.05,115.2918226324721,3.124419842041239,-214.5836452649442,-196.4822062486137
0.024,0.1,115.25456053384244,3.198944039300567,-214.50912106768487,-196.40768205135436
0.006,0.075,115.24816083933271,3.211743428320016,-214.49632167866542,-196.3948826623349
0.012,0.1,115.24617377853104,3.2157175499233506,-214.4923475570621,-196.39090854073157
0.016,0.04,115.23150351195503,3.2450580830753943,-214.46300702391005,-196.36156800757954
0.034,0.065,115.22732191830102,3.2534212703833996,-214.45464383660203,-196.35320482027151
0.028,0.04,115.21510006571768,3.2778649755500773,-214.43020013143536,-196.32876111510484
0.006,0.08,115.21275842466659,3.282548257652228,-214.42551684933318,-196.32407783300266
0.009000000000000001,0.095,115.21124194565823,3.2855812156689703,-214.42248389131646,-196.32104487498594
0.006,0.07,115.20936266342804,3.2893397801293567,-214.41872532685608,-196.31728631052556
0.01,0.05,115.19527726820215,3.3175105705811196,-214.3905545364043,-196.28911552007378
0.03,0.09,115.19163983027178,3.3247854464418847,-214.38327966054356,-196.28184064421305
0.034,0.06,115.19144632230123,3.3251724623829686,-214.38289264460246,-196.28145362827195
0.034,0.07,115.18798185132681,3.332101404331805,-214.37596370265362,-196.2745246863231
0.031,0.045,115.18560201920891,3.336861068567583,-214.37120403841783,-196.2697650220873
0.028,0.095,115.16491624720678,3.378232612571871,-214.32983249441355,-196.22839347808304
0.012,0.045,115.1576474896049,3.392770127775631,-214.3152949792098,-196.21385596287928
0.025,0.1,115.14525478031493,3.417555546355551,-214.29050956062986,-196.18907054429934
0.007,0.06,115.1444476748606,3.4191697572642017,-214.2888953497212,-196.18745633339068
0.011,0.1,115.13617789155128,3.435709323882853,-214.27235578310257,-196.17091676677205
0.033,0.08,115.12630370207808,3.4554577028293054,-214.25260740415615,-196.15116838782563
0.007,0.09,115.12495380393611,3.4581574991131876,-214.24990760787222,-196.1484685915417
0.015,0.04,115.12329066706843,3.461483772848566,-214.24658133413686,-196.14514231780635
0.008,0.055,115.11179003375321,3.4844850394790114,-214.22358006750642,-196.1221410511759
0.006,0.085,115.10350379392565,3.501057519134114,-214.2070075878513,-196.1055685715208
0.029,0.04,115.10344287017952,3.5011793666264106,-214.20688574035904,-196.10544672402852
0.033,0.05,115.10080260633069,3.5064598943240304,-214.20160521266138,-196.10016619633086
0.032,0.085,115.09854345199491,3.510978202995585,-214.19708690398983,-196.0956478876593
0.006,0.065,115.0960120449148,3.5160410171558065,-214.1920240898296,-196.09058507349908
0.018000000000000002,0.105,115.08682472237047,3.534415662244502,-214.17364944474093,-196.07221042841041
0.017,0.105,115.08307309444055,3.54191891810435,-214.1661461888811,-196.06470717255058
0.034,0.055,115.07999434086057,3.5480764252642816,-214.15998868172113,-196.05854966539061
0.034,0.075,115.07378324623491,3.560498614515604,-214.14756649246982,-196.0461274761393
0.019,0.105,115.07370306758847,3.5606589718084773,-214.14740613517694,-196.04596711884642
0.016,0.105,115.06247149946952,3.58312210804641,-214.12494299893905,-196.02350398260853
