Omega_ash,chi2
0.0261,24571455.71985299
0.0262,25382869.193749633
0.0263,26207430.287956655
0.0264,27045137.43068026
0.0265,27895989.050464302
0.0266,28759983.57618887
0.0267,29637119.437069707
0.0268,30527395.062658954
0.0269,31430808.882849947
0.027,32347359.32785766
0.0271,33277044.82825131
0.0272,34219863.8149219
0.0273,35175814.719106086
0.0274,36144895.97236717
0.0275,37127106.00660736
0.0276,38122443.25406708
0.0277,39130906.1473171
0.0278,40152493.11926819
0.0279,41187202.60316398
0.028,42235033.03258083
0.0281,43295982.84143412
0.0282,44370050.46396859
0.0283,45457234.33476799
0.0284,46557532.888750955
0.0285,47670944.56116626
0.0286,48797467.78760418
0.0287,49937101.0039777
0.0288,51089842.64654264
0.0289,52255691.15188849
0.029,53434644.95693539
0.0291,54626702.498941876
0.0292,55831862.21549755
0.0293,57050122.54451735
0.0294,58281481.9242658
0.0295,59525938.79332737
0.0296,60783491.59062497
0.0297,62054138.75541706
0.0298,63337878.727292396
0.0299,64634709.94616906
0.03,65944630.85230501
0.0301,67267639.88628645
0.0302,68603735.48903444
0.0303,69952916.10180065
0.0304,71315180.1661681
0.0305,72690526.12406054
0.0306,74078952.41772132
0.0307,75480457.48973244
0.0308,76895039.78300825
0.0309,78322697.74079564
0.031,79763429.80666788
0.0311,81217234.42454143
0.0312,82684110.038652
0.0313,84164055.0935702
0.0314,85657068.0341978
0.0315,87163147.3057811
0.0316,88682291.35387166
0.0317,90214498.62437147
0.0318,91759767.5635098
0.0319,93318096.61785111
0.032,94889484.23427567
0.0321,96473928.86000472
0.0322,98071428.94259638
0.0323,99681982.92992617
0.0324,101305589.27020408
0.0325,102942246.41197729
0.0326,104591952.80411609
0.0327,106254706.89581841
0.0328,107930507.13662267
0.0329,109619351.97639012
0.033,111321239.86530794
0.0331,113036169.25389814
0.0332,114764138.59301406
0.0333,116505146.33383733
0.0334,118259190.92788047
0.0335,120026270.82697167
0.0336,121806384.48328665
0.0337,123599530.3493173
0.0338,125405706.87789665
0.0339,127224912.52217406
0.034,129057145.73563753
0.0341,130902404.97209519
0.0342,132760688.68568951
0.0343,134631995.33088955
0.0344,136516323.36249375
0.0345,138413671.23562527
0.0346,140324037.40573922
0.0347,142247420.32862055
0.0348,144183818.46037108
0.0349,146133230.25743613
0.035,148095654.1765839
0.0351,150071088.67489532
0.0352,152059532.2097959
0.0353,154060983.23904002
0.0354,156075440.22069559
0.0355,158102901.61316663
0.0356,160143365.87518457
0.0357,162196831.46580112
0.0358,164263296.84440568
0.0359,166342760.47070163
0.036,168435220.8047301
0.0361,170540676.30685532
0.0362,172659125.4377687
0.0363,174790566.65848157
0.0364,176934998.4303382
0.0365,179092419.21500733
0.0366,181262827.47449046
0.0367,183446221.67109835
