tick,p,T_q0,power_T2_q0,T_q1,power_T2_q1,T_q2,power_T2_q2,T_q3,power_T2_q3,T_q4,power_T2_q4
53.0,0.01,1.0,1.0,0.7897170450383025,0.6236530112240284,0.6611109048740025,0.4370676285433224,0.5870367819374844,0.34461218334751764,0.5531174396732865,0.30593890207073177
54.0,0.01,1.0,1.0,0.7862071915047989,0.6181217479738635,0.6559689311694269,0.4302952386595603,0.5811664141181095,0.337754400898902,0.5469716903435833,0.29917803003731674
55.0,0.01,1.0,1.0,0.7827129373203331,0.6126395422486237,0.6508669505936647,0.423627787375096,0.5753547499769285,0.33103308832101386,0.5408942271175435,0.2925665649290848
56.0,0.01,1.0,1.0,0.779234213154465,0.6072059589504581,0.6458046520890474,0.4170636486598555,0.5696012024771592,0.3244455298634257,0.5348842912606819,0.286101205037442
57.0,0.01,1.0,1.0,0.7757709499848895,0.6018205668404579,0.6407817270172436,0.41060122167920127,0.5639051904523875,0.31798906381914344,0.5289411324688966,0.27977872161747885
58.0,0.01,1.0,1.0,0.7723230790960678,0.596482938504431,0.6357978691404428,0.4042389304035276,0.5582661385478637,0.3116610814491425,0.5230640087747978,0.2735959572755617
59.0,0.01,1.0,1.0,0.768890532077863,0.5911926503189792,0.6308527746026839,0.39797522322390466,0.5526834771623851,0.30545902592830465,0.5172521864550779,0.26754982439255864
60.0,0.01,1.0,1.0,0.7654732408241836,0.5859492824178785,0.6259461419113296,0.39180857257367835,0.5471566423907612,0.29938039131233135,0.5115049399389103,0.2616373035819083
61.0,0.01,1.0,1.0,0.7620711375316317,0.5807524186587552,0.621077671918686,0.385737474555935,0.5416850759668536,0.2934227215252159,0.5058215517173669,0.25585544218176487
62.0,0.01,1.0,1.0,0.7586841546981578,0.5756016465900582,0.6162470678037628,0.37976044857673547,0.536268225207185,0.28758360936686406,0.5002013122538407,0.25020135278046424
63.0,0.01,1.0,1.0,0.7553122251217215,0.5704965574183261,0.6114540350541781,0.373876036984036,0.5309055429551132,0.2818606955404635,0.4946435198954646,0.2446722117745749
64.0,0.01,1.0,1.0,0.7519552818989582,0.5654367459757417,0.6066982814482011,0.3680828047122007,0.525596487525562,0.2762516676992082,0.48914748078551507,0.23926525795881584
65.0,0.01,1.0,1.0,0.7486132584238517,0.5604218106879766,0.6019795170369373,0.3623793389320243,0.5203405226503064,0.270754259511994,0.4837125087767871,0.23397779114713335
66.0,0.01,1.0,1.0,0.7452860883864123,0.5554513535423192,0.59729745412665,0.3567642487061776,0.5151371174238033,0.26536624974770534,0.47833792534593395,0.22880717082425228
67.0,0.01,1.0,1.0,0.7419737057713616,0.5505249800560871,0.5926518072612206,0.35123616464999097,0.5099857462495653,0.260085461377726,0.47302305950875695,0.22375081482702502
68.0,0.01,1.0,1.0,0.7386760448568221,0.5456422992453179,0.5880422932047443,0.3457937385974945,0.5048858887870696,0.2549097606963093,0.4677672477364374,0.2188061980549216
69.0,0.01,1.0,1.0,0.7353930402130141,0.5408029235937398,0.583468630924263,0.34043564327263387,0.4998370298991989,0.2498370564584527,0.46256983387269923,0.21397085120901657
70.0,0.01,1.0,1.0,0.7321246267009562,0.5360064690220145,0.5789305415726299,0.3351605719655786,0.49483865960020695,0.24486529903492948,0.4574301690518915,0.20924235955884202
71.0,0.01,1.0,1.0,0.7288707394711742,0.5312525548572563,0.5744277484715095,0.3299672382140477,0.4898902730042049,0.23999247958413442,0.4523476116179816,0.2046183617364923
72.0,0.01,1.0,1.0,0.7256313139624133,0.5265408038028184,0.5699599770945089,0.3248543754895731,0.48499137027416284,0.23521662924041012,0.4473215270444485,0.20009654855737727
73.0,0.01,1.0,1.0,0.7224062859003582,0.52187084190835,0.5655269550504404,0.3198207368886228,0.4801414565714212,0.23053581831852596,0.4423512878550658,0.19567466186703528
74.0,0.01,1.0,1.0,0.7191955912963566,0.5172422985401159,0.5611284120667147,0.31486509482851277,0.47534004200570695,0.22594815553398725,0.437436273545565,0.19135049341343038
75.0,0.01,1.0,1.0,0.7159991664461505,0.5126548063515823,0.5567640799728625,0.309986240748028,0.4705866415856499,0.22145178723886091,0.4325758705061699,0.1871218837441707
76.0,0.01,1.0,1.0,0.712816947928612,0.5081080012542616,0.5524336926841847,0.30518298481268424,0.46588077516979337,0.21704489667280755,0.42776947194499026,0.1829867211280958
77.0,0.01,1.0,1.0,0.7096488726044848,0.5036015223888164,0.54813698618553,0.30045415562455585,0.46122196741809546,0.2127257032290187,0.42301647781226814,0.17894294050069715
78.0,0.01,1.0,1.0,0.7064948776151315,0.4991350120964197,0.5438736985151981,0.29579859993660057,0.4566097477439145,0.20849246173476124,0.41831629472546517,0.17498852243284224
79.0,0.01,1.0,1.0,0.7033549003812866,0.49470811589036956,0.5396435697489688,0.29121518237141014,0.45204365026647536,0.2043434617462395,0.41366833589518226,0.17112149212228933
80.0,0.01,1.0,1.0,0.7002288786018142,0.4903204824279542,0.5354463419842546,0.2867027851443193,0.4475232137638106,0.20027702685748933,0.4090720210519025,0.16733991840748816
